label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,20200906_m1_ASD_6uM_c8_Pos_fsPRM_2uL_007,20200906_m1_ASD_6uM_c8_Pos_fsPRM_2uL_008,20200906_m1_ASD_6uM_c8_Pos_FS_2uL_003,20200906_m1_ASD_6uM_c8_Pos_FS_2uL_004,20200912_m1_ASD_6uM_c8_Neg_fsPRM_2uL_008,20200912_m1_ASD_6uM_c8_Neg_fsPRM_2uL_009,20200912_m1_ASD_6uM_c8_Neg_FS_2uL_003,20200912_m1_ASD_6uM_c8_Neg_FS_2uL_004
b,217,217,1,150.042130,9.948,0.602420,[M-H]-,C12 PARENT,guanine,C00242,C5H5N5O,6.548,0.000000,150.042130,0.00,0.00,0.00,0.00,10188.81,28258.83,31853.80,7029.28
b,218,218,1,150.042175,10.227,0.657341,[M-H]-,C12 PARENT,guanine,C00242,C5H5N5O,6.827,0.305090,150.042175,0.00,0.00,0.00,0.00,13281.50,23774.59,27496.84,27169.52
b,219,219,1,150.042267,11.088,0.587938,[M-H]-,C12 PARENT,guanine,C00242,C5H5N5O,7.688,0.915270,150.042267,0.00,0.00,0.00,0.00,14636.41,24275.59,9751.34,18808.66
b,220,220,1,150.042206,11.325,0.668890,[M-H]-,C12 PARENT,guanine,C00242,C5H5N5O,7.925,0.508483,150.042206,0.00,0.00,0.00,0.00,22103.72,12623.62,9780.32,15635.32
b,221,221,2,150.042297,11.457,0.711754,[M-H]-,C12 PARENT,guanine,C00242,C5H5N5O,8.057,1.118664,150.042297,0.00,0.00,0.00,0.00,22103.72,21152.61,11807.19,12667.64
b,222,222,1,151.025665,0.813,0.692993,[M-H]-,C12 PARENT,xanthine,C00385,C5H4N4O2,0.367,3.233091,151.025665,28041.62,16049.40,26720.66,39654.09,0.00,0.00,0.00,0.00
b,223,223,1,151.026154,8.694,0.804301,[M-H]-,C12 PARENT,xanthine,C00385,C5H4N4O2,7.514,0.000000,151.026154,0.00,3079.10,0.00,0.00,14398.44,6812.65,17130.11,19353.24
b,224,224,1,151.025970,9.233,0.745558,[M-H]-,C12 PARENT,xanthine,C00385,C5H4N4O2,8.053,1.212409,151.025970,0.00,0.00,0.00,0.00,22657.95,12505.18,18561.23,13446.84
b,225,225,1,151.025970,9.624,0.739545,[M-H]-,C12 PARENT,xanthine,C00385,C5H4N4O2,8.444,1.212409,151.025970,0.00,0.00,0.00,0.00,16238.38,7411.56,23932.79,15890.41
b,226,226,1,151.025986,10.836,0.708077,[M-H]-,C12 PARENT,xanthine,C00385,C5H4N4O2,9.656,1.111375,151.025986,0.00,0.00,0.00,0.00,18309.94,14578.26,21119.59,29829.91
